,num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
508059,62,53,23,0,0,0,3,0,1
508060,155,106,58,0,0,0,4,0,1
508062,43,37,14,0,0,0,2,0,1
508063,337,208,94,0,0,0,27,0,1
508064,63,44,7,2,1,1,22,0,1
508065,730,356,225,0,0,0,35,0,1
508066,85,66,25,0,0,0,10,0,1
508067,43,32,12,0,0,0,5,0,1
508070,156,102,59,1,1,0,9,0,1
508072,7,7,1,0,0,0,2,0,1
508073,393,191,128,6,1,1,11,1,1
508074,148,109,55,0,0,0,15,0,1
508075,44,42,12,0,0,0,6,0,1
508078,38,35,3,0,0,0,12,0,1
508080,76,64,24,0,0,0,6,1,1
508083,112,90,29,0,0,0,8,1,1
508086,114,75,45,0,0,0,1,1,1
508087,605,281,188,0,0,0,7,1,1
508089,104,81,24,0,0,0,10,1,1
508091,44,42,10,0,0,0,5,0,1
508093,19,15,4,0,0,0,1,0,1
508097,668,268,288,0,0,0,15,1,1
508098,264,135,118,0,0,0,5,1,1
508099,296,165,104,0,0,0,9,0,1
508106,46,41,9,0,0,0,2,0,1
508110,877,397,281,0,0,0,34,2,1
508112,40,36,6,0,0,0,11,0,1
508114,53,53,5,0,0,0,3,0,1
508116,596,96,91,0,0,0,222,0,1
508117,25,21,3,1,1,0,2,0,1
508118,255,136,108,0,0,0,4,2,1
508121,125,92,41,0,0,0,5,0,1
508126,121,79,38,0,0,0,10,0,1
508129,292,146,118,2,1,0,16,1,1
508130,40,38,5,0,0,0,5,0,1
508131,51,47,10,0,0,0,6,1,1
508134,284,165,91,0,0,0,6,0,1
508136,76,59,23,0,0,0,2,1,1
508140,66,55,22,0,0,0,2,0,1
508145,179,130,69,0,0,0,23,0,1
508150,40,36,12,0,0,1,3,0,1
508152,78,50,19,3,3,1,12,0,1
508153,294,158,105,0,0,0,35,1,1
508154,188,117,59,0,0,0,2,0,1
508156,34,31,11,0,0,0,1,0,1
508158,85,67,27,0,0,0,14,0,1
508159,262,137,76,0,0,0,8,0,1
508160,113,68,44,0,0,0,4,1,1
508163,44,37,7,0,0,0,1,0,1
508164,105,79,25,0,0,0,10,0,1
508165,144,87,48,1,1,3,12,0,1
508166,27,24,9,0,0,0,2,0,1
508174,59,44,8,0,0,0,13,0,1
508175,138,96,38,2,1,0,6,0,1
508177,116,92,32,0,0,0,9,0,1
508179,129,106,36,0,0,0,8,0,1
508183,838,410,284,0,0,0,74,0,1
508184,39,35,4,0,0,0,3,0,1
508185,156,106,64,2,2,0,3,0,1
508187,46,41,8,0,0,0,3,0,1
508193,46,39,19,0,0,0,0,0,1
508194,307,178,71,1,1,1,17,1,1
508196,4,4,0,0,0,0,1,0,1
508197,117,81,38,0,0,0,9,0,1
508198,113,65,34,0,0,0,4,0,1
508203,61,51,22,0,0,0,10,0,1
508206,221,143,68,0,0,0,11,1,1
508209,103,73,35,0,0,0,3,0,1
508211,65,51,15,3,3,1,14,0,1
508216,40,36,8,0,0,0,2,0,1
508217,249,175,61,0,0,0,14,0,1
508220,80,65,33,0,0,0,7,0,1
508222,253,139,96,0,0,0,9,4,1
508224,182,136,63,0,0,0,25,0,1
508225,47,36,9,0,0,0,1,0,1
508231,57,50,21,0,0,0,6,0,1
508233,163,93,63,2,1,0,7,0,1
508237,79,69,14,0,0,0,17,0,1
508238,1070,497,362,0,0,0,131,2,1
508239,63,53,22,0,0,0,5,1,1
508243,66,66,2,0,0,0,3,0,1
508245,262,153,91,0,0,2,4,1,1
508247,27,15,8,0,0,0,5,0,1
508249,147,107,47,0,0,0,8,0,1
508260,36,33,5,0,0,0,4,0,1
508265,182,105,37,0,0,0,13,0,1
508266,42,42,0,0,0,0,3,0,1
508267,190,131,63,0,0,0,16,1,1
508268,58,43,13,0,0,0,3,1,1
508271,64,54,24,0,0,0,2,1,1
508273,110,65,49,0,0,0,2,0,1
508275,80,65,33,0,0,0,8,0,1
508279,107,90,17,0,0,0,12,0,1
508280,66,55,22,0,0,0,2,0,1
508281,301,293,10,0,0,0,37,0,1
508282,41,29,9,0,0,0,4,0,1
508288,468,217,185,0,0,0,9,2,1
508291,87,64,37,0,0,0,3,0,1
508295,47,45,3,0,0,0,1,0,1
508299,82,68,23,0,0,0,12,1,1
508302,894,323,354,0,0,0,12,0,1
508304,37,32,9,0,0,0,6,0,1
508306,100,72,35,1,1,1,5,0,1
508307,112,75,43,0,0,0,5,3,1
508308,201,134,60,0,0,0,8,0,1
508312,102,93,20,0,0,0,23,0,1
508315,200,125,16,0,0,0,60,0,1
508318,82,79,4,0,0,0,2,0,1
508322,131,80,46,4,2,0,8,0,1
508326,96,78,26,0,0,0,17,1,1
508328,105,83,33,0,0,0,30,0,1
508330,95,71,19,1,1,0,6,0,1
508334,738,357,233,0,0,0,23,1,1
508338,396,192,122,0,0,1,9,1,1
508340,104,64,41,0,0,0,6,0,1
508342,1044,451,319,0,0,0,43,4,1
508344,535,236,220,6,4,1,11,0,1
508346,187,131,63,0,0,0,16,1,1
508347,64,52,11,0,0,0,15,0,1
508348,254,212,29,0,0,0,20,0,1
508353,900,344,411,0,0,0,17,3,1
508358,139,84,42,0,0,0,1,0,1
508364,167,127,43,0,0,0,5,1,1
508367,78,67,14,0,0,0,19,1,1
508368,118,85,34,0,0,0,2,0,1
508369,39,35,8,0,0,0,12,0,1
508371,115,82,38,0,0,0,8,0,1
508372,562,279,174,0,0,0,14,2,1
508374,46,42,15,0,0,0,7,0,1
508377,86,72,19,0,0,0,13,0,1
508378,108,86,25,0,0,0,6,0,1
508381,75,66,9,0,0,0,17,0,1
508382,81,81,0,0,0,0,39,0,1
508385,183,135,44,0,0,0,9,0,1
508386,99,81,26,0,0,0,20,1,1
508387,461,204,164,3,3,0,20,0,1
508388,96,74,25,0,0,0,3,0,1
508395,27,24,9,0,0,0,3,0,1
508397,54,46,8,0,0,0,4,0,1
508402,131,80,46,4,2,0,8,0,1
508404,198,129,68,0,0,0,7,0,1
508405,90,74,31,0,0,0,6,1,1
508412,216,118,81,0,0,0,5,2,1
508416,58,48,23,0,0,0,11,0,1
508417,142,110,37,0,0,0,30,0,1
508421,186,141,63,0,0,0,4,0,1
508422,403,223,175,0,0,0,4,1,1
508425,105,69,36,0,0,0,9,0,1
508427,41,41,0,0,0,0,5,0,1
508431,743,291,226,0,0,1,29,1,1
508435,214,145,59,4,3,0,12,1,1
508439,105,69,34,2,1,0,3,0,1
508440,363,212,112,0,0,0,9,0,1
508443,1663,558,632,5,5,1,15,0,1
508444,78,64,15,0,0,0,31,1,1
508449,276,166,104,3,3,0,0,0,1
508454,378,169,168,0,0,0,9,0,1
508458,231,149,62,0,0,0,1,0,1
508459,2018,802,596,0,0,0,242,2,1
508460,87,68,23,0,0,0,11,0,1
508465,149,106,50,0,0,0,4,1,1
508467,2738,817,982,2,2,0,19,0,1
508469,177,158,25,0,0,0,97,0,1
508478,38,34,12,0,0,0,2,0,1
508480,351,197,143,0,0,0,6,1,1
508484,47,24,10,0,0,0,2,0,1
508485,235,144,83,0,0,0,4,0,1
508486,1220,504,388,0,0,0,128,1,1
508487,222,142,71,0,0,0,10,0,1
508492,278,162,92,0,0,0,7,0,1
508494,50,47,4,0,0,0,2,0,1
508495,39,34,17,0,0,0,1,0,1
508497,57,47,19,0,0,0,3,0,1
508498,19,18,3,0,0,0,3,0,1
508499,34,22,8,0,0,0,2,0,1
508500,47,38,15,0,0,0,2,0,1
508503,11,11,2,0,0,0,3,0,1
508507,54,49,10,0,0,0,5,0,1
508512,28,28,3,0,0,0,9,0,1
508514,144,92,46,0,0,0,7,0,1
508515,112,98,18,0,0,0,10,1,1
508520,65,65,5,0,0,0,1,0,1
508523,417,203,102,19,4,2,20,1,1
508526,505,248,206,3,3,0,14,1,1
508528,104,67,33,1,1,2,10,0,1
508529,41,37,6,0,0,0,3,0,1
508531,308,159,125,0,0,0,20,1,1
508532,1041,442,367,0,0,0,10,2,1
508535,77,61,33,0,0,0,1,0,1
508536,1294,523,441,0,0,0,26,2,1
508540,860,374,363,0,0,0,5,2,1
508544,49,47,15,1,1,2,3,0,1
508545,130,90,26,4,3,1,10,0,1
508546,55,45,21,0,0,0,2,0,1
508549,213,143,72,0,0,0,2,2,1
508552,86,71,25,0,0,0,3,0,1
508553,364,206,103,0,0,0,12,0,1
